Place,City,Overall,,Food,Value for Money,Service,Ambiance,Vegan Options,Category,Cuisine,Note
Bibi,London,9.96,,10,8,10,9,10,Food,Indian,Fine dining sampler meal. I didn't know I would get full but I did. We went from random south indian foods to random beet root and veggie curries. It was phenomenal. All wrapped up with a watermelon sorbet. 10/10 experience. The price was up there to match haha
Nan Thai,Atlanta,9.89,,10,8,9,9,9,Food,Thai,Fancy Thai Place that can sub tofu for any meat!!! Dish was amazing
La Semilla,Atlanta,9.47,,9.5,8,8,8.5,10,Food,Latin,Fully vegan latin restaurant. Fantastic food! Go again
Raiz,New York,9.42,,9.5,9,9,5,10,Food,Mexican,"The epitome of vegan food. Theyve nearly perfected their craft from the vegan meat to the sour cream, everything just works. Needs a bit of spice though so the cholua helps"
Whipped,New York,9.35,,9.5,8,8,3,10,Dessert,Ice Cream,What else do you want me to say. Their ice cream was phenomenal
Burma Superstar,San Francisco,9.22,,9.3,9,7.5,7.5,9,Food,Burmese,"I loved the restaurant and the vibe, the menu options were great too giving me a lot to choose from"
Planta Queen,Miami,9.17,,9.2,5,9,8,10,Food,American,Really stands out in comparison to normal plantas
Spicy Moon,New York,9.10,,9.2,6,6,6,10,Food,Szechuan,Too much numbing pepper in the tofu otherwise great food
Harmony Coffee,Atlanta,8.99,,9,7,7,8,10,Drink,Cafe,I think this is the best latte I've ever had
Wildseed,San Francisco,8.98,,9,6,7,8,10,Food,American,Incredible food. I dont remember what i got tho
Double Zero,Atlanta,8.91,,9,7,7,7,9,Food,Italian,Best pizza i've ever had. Hands down. Wish they gave some spicy oil but other than that cannot complain in the slightest
Apollo Bagel,New York,8.90,,9.5,9,4,2,3,Food,Bagel,"Might be the best bagel I've ever had. Given it was dripping in oil i'd hope it would be pretty good - spoiler, it was. Just be prepared for your throat to be coated IN OIL"
Forma Bakery,Oakland,8.89,,9,8,6,6,9,Food,Bakery,Best Croissant i've ever had. Literally go grab everything when you're there lol. except the special K cookie. mids
Blue India,Atlanta,8.85,,9.1,7,7,8,6,Food,Indian,Best indian food in atl. What more is there to say. It's not as dominant as before but still better than the rest
Black Seed Bagel,New York,8.82,,9,9,7,7,7,Food,Bagel,Warmest gooeyest bagel i've had
Yarsa,San Francisco,8.82,,8.9,9,9,5,9,Food,Nepalese,"This is the best ""indian"" restaurant in SF so far. I LOVED the coconut curry I had here. Also very happy with the amount of options here"
Grabstein's,New York,8.81,,9,8,8,4,8,Food,Bagel,Great bagel place with good vegan options
Tamil Crown,London,8.78,,9,8,9,7,6,Food,Indian,Offerings priced very reasonably. The okra fries prepped me for the greatest meal of my life but I was quite disappointed by the vegan subs in the vegetarian roast. Still very good food!
Shizen,San Francisco,8.74,,8.7,9,7,8,10,Food,Japanese,The best vegan sushi i've ever had hands down. The ramen left more to be desired but it wasn't bad by any means. Just didn't live up to the sushi's standard
Greens,San Francisco,8.74,,8.9,3,7,8,8,Food,American,Random assortment of food. I got the dhokla and it was really well spiced along with everything else we had. High quality food at insane prices. I was still quite hugry after a 28$ meal.
Mensho Tokyo,San Francisco,8.70,,8.7,8,8,6,10,Food,Japanese,Best ramen i've ever had (until the end). The oil in the broth kinda ruins the ability to slurp it all down sadly. It would be a 9.5 kind of dish if I the broth could be un-oiled at the end
Banaras,Seattle,8.69,,9,9,8,8,4,Food,Indian,Incredible quality meal. The poori wasn't too oily and it was spiced well just like the masala which was too watery if i can find just 1 thing to be wrong with it. It was phenomenal. WIll go here again
Semma,New York,8.66,,8.9,8,8,9,5,Food,Indian,"Got the gunpowder dosa, some mushroom thing and the squash korma. The dosa itself is worth the visit back. Everythign was really good. The korma on the other hand was good but not like 3 star michelin good. get 2 dosas and call it a day?"
Punjabi Spice,Atlanta,8.65,,8.8,6,4,3,10,Food,Indian,Fully vegan pop up shop. Def need to go again
Mianto,Taipei,8.65,,8.6,8,8,8,10,Food,Taiwanese,"What a great find. The noodles were great, the sauce so creamy and good; though it could ahve used some salt. The TIRAMISU OMG :fire_emoji. I wonder if they do tiramisu take out"
Pizza Jeans,Atlanta,8.64,,8.6,6,7,9,10,Food,Pizza,"Incredible pizza, probably near one of the best i've ever had"
Shukette,New York,8.62,,8.9,8,8,7,5,Food,Mediterranean,Literally the best hummus i've ever had. Everything was really flavorful but oily.
Golden Era,San Francisco,8.61,,8.6,8,8,6,10,Food,Asian,"Everything was incredible, the dumplings, the wraps and the cake too. well done"
Ippudo V,New York,8.60,,8.6,6,7,7,10,Food,Japanese,Good quality ramen - no comments tbh lol
26 Thai,Atlanta,8.58,,8.6,7,7,6,10,Food,Thai,They have upped their game from a couple years ago. The price is higher but so is the quality
Bloom,Chicago,8.56,,8.5,6,8,9,10,Food,American,The mushroom dish was highkey fire but they didn't have rice as a side??? Like what
Lers Ros,San Francisco,8.55,,8.6,7,7,7,9,Food,Thai,"While a little watery, the flavor was awesome. I got the red curry and it was spiced well on top of the heat level. Very good thai curry"
Dash and Chutney,Atlanta,8.55,,8.6,6,7,5,10,Food,Indian,I'm heartbroken that they've closed down shop. Everything about this place was to die for
Vegan Amore,Taipei,8.55,,8.5,8,7,8,10,Food,Taiwanese,"The cauliflower appetizer is to die for, probably one of the best things i've ever put into my mouth. Lots of noodle dishes. The dish was good but not as great as the cauliflower"
Burma Love,San Francisco,8.54,,8.5,9,8,9,9,Food,Burmese,Nearly on par with Burmese superstar. I got something with tofu it just melts in your mouth. The portions are huge too. Highly recommend
Mamak,Atlanta,8.54,,8.5,5,9,8,10,Food,Malaysian,Please redo when going again
